name+A1:Y1,elevation,geometry,UTM_Easting,UTM_Northing,Species name (scientific),Common name (local),Phenology,Type of stem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C,Wood density (g/cm3),Wood density (kg/m3),Tree Height,DBH,Biomass,Carbon
B26,1539.619,POINT (37.011854 -1.092086),278764.3757,9879218.357,Gleditsia triacanthos,honey locust,Mature,straight,1.28,2.63,,,,,,,,,,2.924944444,0.6,600,33,0.931038733,759.2452426,356.845264
B27,1532.466,POINT (37.010121 -1.090847),278571.3633,9879355.26,Robinia pseudoacacia,Black Locust,Mature,Slanted,2.02,,,,,,,,,,,2.02,0.711,711,27.4,0.64298597,362.8193234,170.525082
B28,1535.264,POINT (37.008255 -1.087857),278363.4168,9879685.81,Mangifera indica,Indian mango,Mature,Forked,1.2,1.05,,,,,,,,,,1.594521872,0.66,660,9.5,0.507552076,75.62111481,35.54192396
B30,,POINT (37.008 -1.088019),278335.0414,9879667.874,Mangifera indica,Indian mango,Mature,Forked,0.96,0.72,0.74,,,,,,,,,1.409822684,0.66,660,6.7,0.448760498,42.29297515,19.87769832
B29,1541.156,POINT (37.007997 -1.088083),278334.7121,9879660.796,Grevillea robusta,silk oak,Mature,straight,3,,,,,,,,,,,3,0.61,610,20.7,0.954929659,514.2625774,241.7034114
B31,1539.402,POINT (37.006187 -1.085919),278133.0598,9879899.996,Psidium guajava,Common guava,Mature,straight,1.05,,,,,,,,,,,1.05,0.674,674,6.9,0.33422538,24.99341144,11.74690337
B32,1544.085,POINT (37.006629 -1.086027),278182.2724,9879888.084,Grevillea robusta,silk oak,Mature,straight,1.06,,,,,,,,,,,1.06,0.61,610,19.8,0.337408479,64.62483528,30.37367258
B33,1546.371,POINT (37.006947 -1.085778),278217.6549,9879915.646,Guazuma ulmifolia,West Indian Elm,Mature,straight,0.67,,,,,,,,,,,0.67,0.556,556,7.7,0.213267624,9.591382629,4.507949835
B34,1542.959,POINT (37.005646 -1.084856),278072.7566,9880017.522,Juniperus dappeana,Juniper,Mature,straight,1.49,,,,,,,,,,,1.49,0.5,500,23.3,0.47428173,121.2743498,56.99894439
B35,1544.77,POINT (37.00646 -1.084274),278163.331,9880081.95,Vachelia farnesiana,Sweet Acacia,Mature,Forked,1.01,1.02,,,,,,,,,,1.435444182,0.77,770,15,0.456916074,111.813064,52.55214008
B36,1544.728,POINT (37.007429 -1.084172),278271.1955,9880093.302,Grevillea robusta,silk oak,Mature,straight,0.35,,,,,,,,,,,0.35,0.61,610,8.3,0.11140846,3.180520615,1.494844689
B37,1543.005,POINT (37.007934 -1.084922),278327.4682,9880010.39,Peltophorum pterocarpum,Yellow Flame Tree,Mature,straight,0.98,,,,,,,,,,,0.98,0.62,620,7.7,0.311943688,22.40979025,10.53260142
B38,1545.013,POINT (37.00847 -1.08536),278387.1691,9879961.988,Jacaranda mimosifolia,blue jacaranda,Mature,straight,2.47,,,,,,,,,,,2.47,0.55,550,25.7,0.786225419,392.8334152,184.6317051
B39,1544.633,POINT (37.00902 -1.086584),278448.4858,9879826.657,Musa acuminata,Plantain,Mature,straight,0.54,,,,,,,,,,,0.54,0.689,689,7.6,0.171887339,7.662736726,3.601486261
B40,1527.342,POINT (37.011155 -1.088336),278686.2873,9879633.046,Grevillea robusta,silk oak,Mature,Forked,1.42,1.28,,,,,,,,,,1.911753122,0.61,610,26,0.608529919,266.5790726,125.2921641
B41,1531.444,POINT (37.011796 -1.089736),278757.7472,9879478.257,Acacia dealbata,Silver wattle,Mature,Forked,1.13,1.06,,,,,,,,,,1.549354704,0.65,650,23.6,0.49317492,171.2045401,80.46613383
B42,1532.869,POINT (37.013191 -1.090795),278913.1192,9879361.237,Acacia dealbata,Silver wattle,Mature,straight,1.7,,,,,,,,,,,1.7,0.65,650,9,0.541126807,80.08582927,37.64033976
B43,1536.536,POINT (37.014085 -1.092145),279012.7399,9879211.996,Quercus virginiana,southern live oak,Mature,straight,0.79,,,,,,,,,,,0.79,0.7,700,6.1,0.25146481,13.1959586,6.202100542
B44,1530.225,POINT (37.014161 -1.091625),279021.1623,9879269.513,Jacaranda mimosifolia,blue jacaranda,Mature,straight,1.03,,,,,,,,,,,1.03,0.55,550,16,0.327859183,44.85889873,21.0836824
B45,1533.696,POINT (37.015489 -1.091804),279169.0112,9879249.813,Tsuga canadensis,eastern hemlock,Mature,straight,1.57,,,,,,,,,,,1.57,0.4,400,17.4,0.499746521,81.23777034,38.18175206
B46,1531.938,POINT (37.014776 -1.092226),279089.6694,9879203.089,Populus tremula,European aspen,Mature,straight,1.77,,,,,,,,,,,1.77,0.37,370,23.4,0.563408499,127.0394581,59.7085453
B47,1525.803,POINT (37.013833 -1.091308),278984.6255,9879304.548,Prunus mexicana,Mexican Plum,Mature,straight,0.49,,,,,,,,,,,0.49,0.6,600,6.2,0.155971844,4.540335157,2.133957524
B48,1525.505,POINT (37.013676 -1.090909),278967.1188,9879348.665,Quercus macrocarpa,bur oak,Young,straight,0.25,,,,,,,,,,,0.25,0.72,720,2.8,0.079577472,0.671331327,0.315525723
B49,1528.351,POINT (37.013347 -1.089978),278930.4258,9879451.607,Jacaranda mimosifolia,blue jacaranda,Mature,straight,1.23,,,,,,,,,,,1.23,0.55,550,22.1,0.39152116,86.93424324,40.85909432
B50,1529.199,POINT (37.012884 -1.090207),278878.9003,9879426.246,Psidium guajava,Common guava,Mature,straight,0.69,,,,,,,,,,,0.69,0.674,674,10.8,0.219633821,17.05306016,8.014938274
B51,1527.401,POINT (37.014286 -1.090015),279034.9601,9879447.583,Gleditsia triacanthos,honey locust,Mature,straight,0.54,,,,,,,,,,,0.54,0.6,600,10.2,0.171887339,8.922309125,4.193485289
B52,1525.933,POINT (37.01392 -1.089063),278994.1467,9879552.845,Jacaranda mimosifolia,blue jacaranda,Mature,straight,0.91,,,,,,,,,,,0.91,0.55,550,15.6,0.289661996,34.3643114,16.15122636
B53,1525.569,POINT (37.015138 -1.087726),279129.6399,9879700.803,Prosopis laevigata,Smooth mesquite,Mature,Multi-stemmed,0.56,0.7,0.64,0.6,0.57,,,,,,,1.3777155,0.85,850,9.8,0.438540464,75.01778011,35.25835665
B54,1525.702,POINT (37.014837 -1.088505),279096.1886,9879614.626,Pinus sylvestris,Scots pine,Mature,straight,1.83,,,,,,,,,,,1.83,0.5007,500.7,14.2,0.582507092,111.8667284,52.57736237
B55,1519.588,POINT (37.015105 -1.089218),279126.0749,9879535.789,Grevillea robusta,silk oak,Young,straight,0.16,,,,,,,,,,,0.16,0.61,610,4.4,0.050929582,0.371457556,0.174585051
B56,1525.498,POINT (37.01524 -1.089746),279141.1418,9879477.404,Grevillea robusta,silk oak,Young,straight,0.21,,,,,,,,,,,0.21,0.61,610,4.7,0.066845076,0.67359173,0.316588113
B58,1546.879,POINT (37.009578 -1.081623),278510.2431,9880375.372,Corymbia citriodora,Lemon-scented gum,Mature,Forked,0.43,0.38,0.41,,,,,,,,,0.705265907,0.756,756,18.6,0.224493111,33.84090788,15.9052267
B59,1547.735,POINT (37.009164 -1.082206),278464.1978,9880310.864,Vachelia farnesiana,Sweet Acacia,Mature,Forked,0.4,0.28,0.25,,,,,,,,,0.548543526,0.77,770,10.4,0.174606827,11.96065041,5.621505692
B60,1547.937,POINT (37.008825 -1.08277),278426.5003,9880248.462,Acacia dealbata,Silver wattle,Mature,Forked,0.62,0.33,,,,,,,,,,0.702353188,0.65,650,14.1,0.223565963,22.10512598,10.38940921
B61,1547.637,POINT (37.009199 -1.082838),278468.14,9880240.968,Caesuarina equisetifolia,Whistling pine,Mature,Forked,0.06,0.2,0.07,,,,,,,,,0.220227155,0.83,830,5.6,0.070100481,1.184434171,0.55668406
B62,1541.723,POINT (37.010161 -1.081711),278575.1507,9880365.682,Vachelia farnesiana,Sweet Acacia,Mature,Forked,0.48,0.35,,,,,,,,,,0.59405387,0.77,770,8.5,0.18909322,11.4765432,5.393975305
B63,1541.41,POINT (37.010556 -1.082325),278619.1677,9880297.804,Peltophorum pterocarpum,Yellow Flame Tree,Mature,straight,0.78,,,,,,,,,,,0.78,0.62,620,11.4,0.248281711,21.05025416,9.893619457
B64,1542.703,POINT (37.010241 -1.083051),278584.1538,9880217.487,Grevillea robusta,silk oak,Mature,straight,0.73,,,,,,,,,,,0.73,0.61,610,12,0.232366217,19.14010407,8.995848912
B65,1539.76,POINT (37.009781 -1.08317),278532.9539,9880204.293,Cordia boissieri,Anacahuita,Young,Forked,0.23,0.16,0.21,0.14,,,,,,,,0.377094153,0.62,620,3.5,0.120032797,1.609125673,0.756289066
B66,1540.64,POINT (37.010035 -1.083751),278561.2721,9880140.054,Madura pomifera,osage orange,Mature,Forked,0.13,0.3,,,,,,,,,,0.326955654,0.7736,773.6,6.1,0.104073217,2.599749362,1.2218822
B67,1541.18,POINT (37.009354 -1.08397),278485.4773,9880115.783,Psidium guajava,Common guava,Young,Forked,0.17,0.23,,,,,,,,,,0.286006993,0.674,674,4.7,0.091038853,1.356944377,0.637763857
